Year,Station_Temperature
1921,-8
1922,-16
1923,-16
1924,-2
1925,9
1926,3
1927,-17
1928,-7
1929,0
1930,12
1931,-4
1932,6
1933,-1
1934,-5
1935,-15
1936,17
1937,9
1938,-11
1939,12
1940,6
1941,-13
1942,-29
1943,-26
1944,0
1945,5
1946,-9
1947,14
1948,-18
1949,-10
1950,-5
1951,-7
1952,-4
1953,-5
1954,-2
1955,-20
1956,-6
1957,-8
1958,-3
1959,-16
1960,5
1961,2
1962,4
1963,4
1964,-11
1965,-21
1966,-12
1967,-10
1968,-31
1969,-11
1970,1
1971,-1
1972,-1
1973,-9
1974,8
1975,-17
1976,4
1977,-14
1978,-6
1979,-27
1980,9
1981,-7
1982,-19
1983,-1
1984,-5
1985,1
1986,-7
1987,2
1988,-10
1989,-11
1990,-4
1991,-4
1992,-8
1993,-8
1994,6
1995,-2
1996,-18
1997,-11
1998,-5
1999,17
2000,3
2001,1
2002,12
2003,-7
2004,9
2005,-5
2006,8
2007,10
2008,11
2009,20
2010,1
2011,10
